date,expo_type
2012-09-21,Monthly
2012-09-21,Weekly
2012-09-28,Weekly
2012-10-05,Weekly
2012-10-12,Weekly
2012-10-19,Monthly
2012-10-19,Weekly
2012-10-26,Weekly
2012-11-02,Weekly
2012-11-09,Weekly
2012-11-16,Monthly
2012-11-16,Weekly
2012-11-23,Weekly
2012-11-30,Weekly
2012-12-07,Weekly
2012-12-14,Weekly
2012-12-21,Monthly
2012-12-21,Weekly
2012-12-28,Weekly
2013-01-04,Weekly
2013-01-11,Weekly
2013-01-18,Monthly
2013-01-18,Weekly
2013-01-25,Weekly
2013-02-01,Weekly
2013-02-08,Weekly
2013-02-15,Monthly
2013-02-15,Weekly
2013-02-22,Weekly
2013-03-01,Weekly
2013-03-08,Weekly
2013-03-15,Monthly
2013-03-15,Weekly
2013-03-22,Weekly
2013-03-28,Weekly
2013-04-05,Weekly
2013-04-12,Weekly
2013-04-19,Monthly
2013-04-19,Weekly
2013-04-26,Weekly
2013-05-03,Weekly
2013-05-10,Weekly
2013-05-17,Monthly
2013-05-17,Weekly
2013-05-24,Weekly
2013-05-31,Weekly
2013-06-07,Weekly
2013-06-14,Weekly
2013-06-21,Monthly
2013-06-21,Weekly
2013-06-28,Weekly
2013-07-05,Weekly
2013-07-12,Weekly
2013-07-19,Monthly
2013-07-19,Weekly
2013-07-26,Weekly
2013-08-02,Weekly
2013-08-09,Weekly
2013-08-16,Monthly
2013-08-16,Weekly
2013-08-23,Weekly
2013-08-30,Weekly
2013-09-06,Weekly
2013-09-13,Weekly
2013-09-20,Monthly
2013-09-20,Weekly
2013-09-27,Weekly
2013-10-04,Weekly
2013-10-11,Weekly
2013-10-18,Monthly
2013-10-18,Weekly
2013-10-25,Weekly
2013-11-01,Weekly
2013-11-08,Weekly
2013-11-15,Monthly
2013-11-15,Weekly
2013-11-22,Weekly
2013-11-29,Weekly
2013-12-06,Weekly
2013-12-13,Weekly
2013-12-20,Monthly
2013-12-20,Weekly
2013-12-27,Weekly
2014-01-03,Weekly
2014-01-10,Weekly
2014-01-17,Monthly
2014-01-17,Weekly
2014-01-24,Weekly
2014-01-31,Weekly
2014-02-07,Weekly
2014-02-14,Weekly
2014-02-21,Monthly
2014-02-21,Weekly
2014-02-28,Weekly
2014-03-07,Weekly
2014-03-14,Weekly
2014-03-21,Monthly
2014-03-21,Weekly
2014-03-28,Weekly
2014-04-04,Weekly
2014-04-11,Weekly
2014-04-17,Monthly
2014-04-17,Weekly
2014-04-25,Weekly
2014-05-02,Weekly
2014-05-09,Weekly
2014-05-16,Monthly
2014-05-16,Weekly
2014-05-23,Weekly
2014-05-30,Weekly
2014-06-06,Weekly
2014-06-13,Weekly
2014-06-20,Monthly
2014-06-20,Weekly
2014-06-27,Weekly
2014-07-03,Weekly
2014-07-11,Weekly
2014-07-18,Monthly
2014-07-18,Weekly
2014-07-25,Weekly
2014-08-01,Weekly
2014-08-08,Weekly
2014-08-15,Monthly
2014-08-15,Weekly
2014-08-22,Weekly
2014-08-29,Weekly
2014-09-05,Weekly
2014-09-12,Weekly
2014-09-19,Monthly
2014-09-19,Weekly
2014-09-26,Weekly
2014-10-03,Weekly
2014-10-10,Weekly
2014-10-17,Monthly
2014-10-17,Weekly
2014-10-24,Weekly
2014-10-31,Weekly
2014-11-07,Weekly
2014-11-14,Weekly
2014-11-21,Monthly
2014-11-21,Weekly
2014-11-28,Weekly
2014-12-05,Weekly
2014-12-12,Weekly
2014-12-19,Monthly
2014-12-19,Weekly
2014-12-26,Weekly
2015-01-02,Weekly
2015-01-09,Weekly
2015-01-16,Monthly
2015-01-16,Weekly
2015-01-23,Weekly
2015-02-06,Weekly
2015-02-13,Weekly
2015-02-20,Monthly
2015-02-20,Weekly
2015-02-27,Weekly
2015-03-06,Weekly
2015-03-13,Weekly
2015-03-20,Monthly
2015-03-20,Weekly
2015-03-27,Weekly
2015-04-02,Weekly
2015-04-10,Weekly
2015-04-17,Monthly
2015-04-17,Weekly
2015-04-24,Weekly
2015-05-01,Weekly
2015-05-08,Weekly
2015-05-15,Monthly
2015-05-15,Weekly
2015-05-22,Weekly
2015-05-29,Weekly
2015-06-05,Weekly
2015-06-12,Weekly
2015-06-19,Monthly
2015-06-19,Weekly
2015-06-26,Weekly
2015-07-02,Weekly
2015-07-10,Weekly
2015-07-17,Monthly
2015-07-17,Weekly
2015-07-24,Weekly
2015-07-31,Weekly
2015-08-07,Weekly
2015-08-14,Weekly
2015-08-21,Monthly
2015-08-21,Weekly
2015-08-28,Weekly
2015-09-04,Weekly
2015-09-11,Weekly
2015-09-18,Monthly
2015-09-18,Weekly
2015-09-25,Weekly
2015-10-02,Weekly
2015-10-09,Weekly
2015-10-16,Monthly
2015-10-16,Weekly
2015-10-23,Weekly
2015-10-30,Weekly
2015-11-06,Weekly
2015-11-13,Weekly
2015-11-20,Monthly
2015-11-20,Weekly
2015-11-27,Weekly
2015-12-04,Weekly
2015-12-11,Weekly
2015-12-18,Monthly
2015-12-18,Weekly
2015-12-24,Weekly
2015-12-31,Weekly
2016-01-08,Weekly
2016-01-15,Monthly
2016-01-15,Weekly
2016-01-22,Weekly
2016-01-29,Weekly
2016-02-05,Weekly
2016-02-12,Weekly
2016-02-19,Monthly
2016-02-19,Weekly
2016-02-26,Weekly
2016-03-04,Weekly
2016-03-11,Weekly
2016-03-18,Monthly
2016-03-18,Weekly
2016-03-24,Weekly
2016-04-01,Weekly
2016-04-08,Weekly
2016-04-15,Monthly
2016-04-15,Weekly
2016-04-22,Weekly
2016-04-29,Weekly
2016-05-06,Weekly
2016-05-13,Weekly
2016-05-20,Monthly
2016-05-20,Weekly
2016-05-27,Weekly
2016-06-03,Weekly
2016-06-10,Weekly
2016-06-17,Monthly
2016-06-17,Weekly
2016-06-24,Weekly
2016-07-01,Weekly
2016-07-08,Weekly
2016-07-15,Monthly
2016-07-15,Weekly
2016-07-22,Weekly
2016-07-29,Weekly
2016-08-05,Weekly
2016-08-12,Weekly
2016-08-19,Monthly
2016-08-19,Weekly
2016-08-26,Weekly
2016-09-02,Weekly
2016-09-09,Weekly
2016-09-16,Monthly
2016-09-16,Weekly
2016-09-23,Weekly
2016-09-30,Weekly
2016-10-07,Weekly
2016-10-14,Weekly
2016-10-21,Monthly
2016-10-21,Weekly
2016-10-28,Weekly
2016-11-04,Weekly
2016-11-11,Weekly
2016-11-18,Monthly
2016-11-18,Weekly
2016-11-25,Weekly
2016-12-02,Weekly
2016-12-09,Weekly
2016-12-16,Monthly
2016-12-16,Weekly
2016-12-23,Weekly
2016-12-30,Weekly
2017-01-06,Weekly
2017-01-13,Weekly
2017-01-20,Monthly
2017-01-20,Weekly
2017-01-30,Weekly
2017-02-03,Weekly
2017-02-10,Weekly
2017-02-17,Monthly
2017-02-17,Weekly
2017-02-24,Weekly
2017-03-03,Weekly
2017-03-10,Weekly
2017-03-17,Monthly
2017-03-17,Weekly
2017-03-24,Weekly
2017-03-31,Weekly
2017-04-07,Weekly
2017-04-13,Weekly
2017-04-21,Monthly
2017-04-21,Weekly
2017-04-28,Weekly
2017-05-05,Weekly
2017-05-12,Weekly
2017-05-19,Monthly
2017-05-19,Weekly
2017-05-26,Weekly
2017-06-02,Weekly
2017-06-09,Weekly
2017-06-16,Monthly
2017-06-16,Weekly
2017-06-23,Weekly
2017-06-30,Weekly
2017-07-07,Weekly
2017-07-14,Weekly
2017-07-21,Monthly
2017-07-21,Weekly
2017-07-28,Weekly
2017-08-04,Weekly
2017-08-11,Weekly
2017-08-18,Monthly
2017-08-18,Weekly
2017-08-25,Weekly
2017-09-01,Weekly
2017-09-08,Weekly
2017-09-15,Monthly
2017-09-15,Weekly
2017-09-22,Weekly
2017-09-29,Weekly
2017-10-06,Weekly
2017-10-13,Weekly
2017-10-20,Monthly
2017-10-20,Weekly
2017-10-27,Weekly
2017-11-03,Weekly
2017-11-10,Weekly
2017-11-17,Monthly
2017-11-17,Weekly
2017-11-24,Weekly
2017-12-01,Weekly
2017-12-08,Weekly
2017-12-15,Monthly
2017-12-15,Weekly
2017-12-22,Weekly
