Date,Open,High,Low,Close,Adj Close,Volume
6/28/07,84.32,84.580002,84.18,84.300003,56.452106,3612500
6/29/07,84.849998,85.300003,84.639999,85.169998,57.03466,1962200
7/2/07,84.809998,85.370003,84.809998,85.290001,57.334476,2811700
7/3/07,85.25,85.339996,84.709999,84.769997,56.984901,1387500
7/5/07,84.309998,84.419998,83.720001,83.82,56.346313,4586800
7/6/07,83.540001,83.550003,83.279999,83.480003,56.11776,1437800
7/9/07,83.870003,83.93,83.68,83.779999,56.319447,795400
7/10/07,84.480003,85.199997,84.43,85.199997,57.273994,2258000
7/11/07,84.949997,85.089996,84.32,84.32,56.682407,1191300
7/12/07,84.550003,84.580002,83.870003,84.029999,56.487484,1941200
7/13/07,84.449997,84.550003,83.940002,84.260002,56.642105,725900
7/16/07,84.519997,85.110001,84.519997,85.07,57.186607,952000
7/17/07,84.860001,85.089996,84.5,84.889999,57.065598,734200
7/18/07,84.93,85.540001,84.809998,85.209999,57.28067,1836800
7/19/07,84.900002,85.260002,84.800003,85.190002,57.267227,1021000
7/20/07,85.379997,86.080002,85.32,85.959999,57.784874,1459900
7/23/07,85.690002,85.970001,85.690002,85.82,57.690754,777900
7/24/07,86.010002,86.160004,85.720001,86.139999,57.905869,1351600
7/25/07,86.07,86.389999,86,86.309998,58.020145,881100
7/26/07,86.739998,87.459999,86.650002,87.029999,58.504147,2866400
7/27/07,87.050003,87.559998,86.849998,87.279999,58.672173,5367800
7/30/07,87.190002,87.360001,86.910004,87.029999,58.504147,1803900
7/31/07,87.129997,87.75,86.949997,87.660004,58.927715,2467600
8/1/07,87.260002,87.540001,87.089996,87.129997,58.800095,2154700
8/2/07,87.209999,87.449997,86.989998,87.349998,58.948566,2079400
8/3/07,87.279999,87.93,87.279999,87.93,59.339981,1577600
8/6/07,87.699997,87.720001,87.169998,87.290001,58.9081,1298400
8/7/07,87.43,87.709999,86.919998,87.220001,58.860867,1890800
8/8/07,86.889999,86.889999,85.860001,86.160004,58.145454,6453000
8/9/07,86.75,86.860001,85.720001,86.279999,58.22649,2637500
8/10/07,86.489998,86.699997,85.980003,86.080002,58.091549,1496400
8/13/07,85.919998,86.400002,85.900002,86.330002,58.260239,1312600
8/14/07,86.019997,86.779999,86.010002,86.559998,58.41544,1314700
8/15/07,86.650002,86.75,86.25,86.25,58.20628,1101700
8/16/07,86.870003,87.599998,86.760002,87.139999,58.806866,2410200
8/17/07,86.400002,86.910004,86.050003,86.790001,58.570667,2114400
8/20/07,86.959999,87.269997,86.830002,86.839996,58.604427,1048700
8/21/07,87.099998,87.410004,87.050003,87.260002,58.887775,1517200
8/22/07,87.050003,87.309998,86.809998,87.120003,58.79335,1137800
8/23/07,87.089996,87.68,87.029999,87.419998,58.995762,1618800
8/24/07,87.769997,88.080002,87.559998,87.849998,59.286041,1614600
8/27/07,88.279999,88.480003,88.150002,88.309998,59.596455,1585400
8/28/07,88.43,88.739998,88.279999,88.459999,59.697655,1298900
8/29/07,88.489998,88.769997,88.160004,88.220001,59.535709,2686700
8/30/07,88.610001,88.959999,88.470001,88.809998,59.933891,1806800
8/31/07,88.589996,89.199997,88.540001,88.879997,59.981117,2763200
9/4/07,88.830002,89.129997,88.199997,88.559998,60.009552,931000
9/5/07,88.760002,89.349998,88.720001,89.269997,60.490673,1271500
9/6/07,89.309998,89.489998,88.949997,89.040001,60.334805,1768400
9/7/07,89.75,90.5,89.690002,90.300003,61.188599,2852200
9/10/07,90.5,91.269997,90.5,91,61.662983,2495200
9/11/07,90.879997,91.269997,90.699997,90.93,61.615532,3925400
9/12/07,90.900002,90.940002,90.419998,90.589996,61.385151,4458300
9/13/07,90.300003,90.330002,89.580002,89.779999,60.836243,2020600
9/14/07,90.580002,90.589996,89.620003,89.910004,60.924335,1357200
9/17/07,89.82,90.389999,89.760002,90.339996,61.215778,1285400
9/18/07,89.800003,90.239998,89,89.660004,60.754913,3132800
9/19/07,88.709999,89.010002,88.370003,88.830002,60.192539,3854700
9/20/07,88.18,88.290001,87.099998,87.150002,59.054127,5903200
9/21/07,87.580002,88.129997,87.580002,87.889999,59.555538,2217600
9/24/07,88.029999,88.279999,87.910004,88.139999,59.724991,1943600
9/25/07,88.5,88.620003,87.830002,87.830002,59.514931,2513500
9/26/07,87.620003,88.129997,87.43,87.910004,59.56913,2646400
9/27/07,88.239998,88.779999,88.150002,88.519997,59.98246,1802900
9/28/07,89.160004,89.330002,88.220001,88.720001,60.117992,1254700
10/1/07,88.690002,88.980003,88.43,88.879997,60.461506,1399400
10/2/07,88.75,89.370003,88.68,89.160004,60.651989,887800
10/3/07,89.330002,89.43,88.730003,88.900002,60.475121,1164600
10/4/07,89.010002,89.32,88.910004,89.239998,60.706444,1128700
10/5/07,88.309998,88.440002,87.709999,88.279999,60.053379,2184700
10/8/07,87.769997,88.5,87.769997,88.209999,60.005753,280100
10/9/07,88.160004,88.360001,87.779999,88.099998,59.930916,901000
10/10/07,87.980003,88.43,87.790001,88.150002,59.964931,855500
10/11/07,87.519997,88.089996,87.449997,88.059998,59.903709,1533400
10/12/07,87.519997,88.18,87.480003,87.629997,59.611202,1133900
10/15/07,87.480003,87.720001,87.400002,87.650002,59.624817,553300
10/16/07,87.650002,87.980003,87.540001,87.68,59.645237,855500
10/17/07,87.769997,88.949997,87.769997,88.639999,60.29826,2377000
10/18/07,89.110001,89.339996,89.019997,89.129997,60.63158,1374100
10/19/07,89.629997,90.599998,89.610001,90.459999,61.53635,2561800
10/22/07,90.580002,90.650002,90.07,90.470001,61.54311,1866500
10/23/07,90.260002,90.519997,90.099998,90.349998,61.461479,1046600
10/24/07,90.709999,91.389999,90.559998,91.019997,61.917267,2829300
10/25/07,91.059998,91.18,90.699997,90.709999,61.706371,3062200
10/26/07,90.370003,91,90.339996,90.5,61.563572,1366500
10/29/07,90.5,90.989998,90.480003,90.849998,61.80162,881000
10/30/07,90.730003,91.010002,90.419998,90.800003,61.767612,1439600
10/31/07,90.5,90.699997,89.75,89.980003,61.209839,2498500
11/1/07,89.959999,91.010002,89.959999,90.75,62.005116,2563400
11/2/07,90.449997,91.540001,90.209999,91.040001,62.203262,1927700
11/5/07,91.160004,91.389999,90.800003,91,62.175938,1021500
11/6/07,90.599998,91.150002,90.480003,90.559998,61.87529,575800
11/7/07,90.540001,90.760002,90.32,90.720001,61.984619,1456100
11/8/07,90.650002,90.940002,90.43,90.559998,61.87529,2179600
11/9/07,91.040001,91.589996,90.93,91.330002,62.401421,887200
11/12/07,91.989998,91.989998,91.349998,91.660004,62.626919,460600
11/13/07,91.419998,91.489998,91.169998,91.32,62.394566,1116600
11/14/07,90.949997,91.510002,90.919998,91.419998,62.462902,684400
11/15/07,91.610001,92.559998,91.489998,92.279999,63.050537,1312900
11/16/07,92.269997,92.699997,92.209999,92.410004,63.139351,1333800
11/19/07,92.540001,93.419998,92.410004,93.010002,63.549248,1343900
11/20/07,93.089996,93.290001,92.800003,92.910004,63.480946,1367800
11/21/07,93.400002,93.580002,93.239998,93.449997,63.849895,1297800
11/23/07,93.440002,93.800003,93.309998,93.730003,64.041237,437400
11/26/07,94.220001,96.360001,94.120003,95.580002,65.305244,4427000
11/27/07,94.959999,95.25,93.989998,94.669998,64.683456,3100300
11/28/07,94.559998,94.690002,93.839996,94.029999,64.24617,2088100
11/29/07,94.82,95.419998,94.660004,94.839996,64.799629,1594500
11/30/07,93.879997,94.389999,93.739998,94.379997,64.485352,1952100
12/3/07,94.760002,95.099998,94.279999,94.75,64.99704,1272700
12/4/07,94.900002,95.059998,94.150002,94.739998,64.990189,1721200
12/5/07,94.220001,94.470001,93.559998,93.610001,64.215042,1866000
12/6/07,93.32,93.339996,92.540001,92.790001,63.652546,2270200
12/7/07,92.18,92.349998,91.379997,91.75,62.939102,2171000
12/10/07,91.639999,91.690002,90.75,91.199997,62.561836,2242500
12/11/07,91.730003,93.230003,91.580002,92.989998,63.789719,2892400
12/12/07,91.449997,92.650002,91.269997,92.029999,63.131176,2225400
12/13/07,91.610001,91.82,90.900002,91.029999,62.445198,1222100
12/14/07,90.790001,90.919998,90.5,90.610001,62.157127,1354900
12/17/07,91.07,91.540001,90.93,91.419998,62.712704,2046200
12/18/07,91.589996,92.300003,91.550003,92.010002,63.117462,1417100
12/19/07,92.400002,93.559998,91.879997,93.230003,63.954372,2252400
12/20/07,93.260002,93.870003,93.019997,93.029999,63.817192,1659400
12/21/07,92.900002,92.919998,91.660004,91.669998,62.884239,1767600
12/24/07,91.220001,91.470001,91.080002,91.239998,62.58931,550300
12/26/07,91.019997,91.629997,90.279999,90.440002,62.040489,674700
12/27/07,90.879997,91.160004,90.510002,91.059998,62.716862,468600
12/28/07,91.650002,92.580002,91.5,92.480003,63.694828,1967800
12/31/07,92.779999,93.279999,92.599998,93.040001,64.080544,1647600
1/2/08,93.25,94.730003,93.199997,94.379997,65.003433,2959600
1/3/08,94,94.379997,93.669998,94.25,64.913879,1256700
1/4/08,94.5,94.790001,94.199997,94.269997,64.927673,2420200
1/7/08,94.18,94.779999,94.029999,94.68,65.210068,1315500
1/8/08,94.440002,94.709999,93.93,94.57,65.134247,1604800
1/9/08,94.790001,95.300003,94.620003,94.75,65.258263,2203500
1/10/08,94.870003,94.949997,93.309998,93.470001,64.376663,2681800
1/11/08,93.519997,94.279999,93.400002,94.199997,64.879486,1872900
1/14/08,94.199997,94.550003,94,94.550003,65.120522,906100
1/15/08,95.160004,95.629997,95.07,95.610001,65.850571,1435300
1/16/08,95.68,95.889999,94.730003,94.919998,65.375359,3505100
1/17/08,94.959999,96.290001,94.93,96.150002,66.222488,2940500
1/18/08,95.550003,95.769997,95.220001,95.489998,65.767952,2676800
1/22/08,96.410004,96.620003,95.300003,96.510002,66.470444,5423500
1/23/08,97.980003,98.160004,95.879997,96.290001,66.318932,7636600
1/24/08,95.550003,95.75,94.339996,94.360001,64.989662,5676700
1/25/08,94.190002,96,94.129997,95.949997,66.084801,4371100
1/28/08,95.68,96,95.360001,95.589996,65.836784,1633500
1/29/08,95.279999,95.32,94.580002,94.940002,65.389107,3100200
1/30/08,94.690002,94.769997,93.589996,94.32,64.962128,3468000
1/31/08,95.300003,95.43,94.629997,94.989998,65.423561,11441000
2/1/08,95,95.400002,94.559998,95.230003,65.816849,4163700
2/4/08,94.389999,94.660004,94.129997,94.25,65.139481,1729600
2/5/08,95.410004,95.610001,94.769997,94.970001,65.637146,2594600
